0.85 ,160,138.000,-10.922
0.85 ,161,140.000,-11.190
0.85 ,162,142.000,-11.595
0.85 ,163,144.000,-12.119
0.85 ,164,146.000,-12.736
0.85 ,165,148.000,-13.395
0.85 ,166,150.000,-14.013
0.85 ,167,152.000,-14.474
0.85 ,168,154.000,-14.663
0.85 ,169,156.000,-14.518
0.85 ,170,158.000,-14.075
0.85 ,171,160.000,-13.440
0.85 ,172,162.000,-12.726
0.85 ,173,164.000,-12.017
0.85 ,174,166.000,-11.366
0.85 ,175,168.000,-10.798
0.85 ,176,170.000,-10.326
0.85 ,177,172.000,-9.955
0.85 ,178,174.000,-9.684
0.85 ,179,176.000,-9.514
0.85 ,180,178.000,-9.441
0.85 ,181,180.000,-9.463
0.88 ,1,-180.000,-10.589
0.88 ,2,-178.000,-10.560
0.88 ,3,-176.000,-10.599
0.88 ,4,-174.000,-10.695
0.88 ,5,-172.000,-10.837
0.88 ,6,-170.000,-11.013
0.88 ,7,-168.000,-11.212
0.88 ,8,-166.000,-11.417
0.88 ,9,-164.000,-11.613
0.88 ,10,-162.000,-11.777
0.88 ,11,-160.000,-11.890
0.88 ,12,-158.000,-11.932
0.88 ,13,-156.000,-11.893
0.88 ,14,-154.000,-11.775
0.88 ,15,-152.000,-11.594
0.88 ,16,-150.000,-11.376
0.88 ,17,-148.000,-11.155
0.88 ,18,-146.000,-10.965
0.88 ,19,-144.000,-10.835
0.88 ,20,-142.000,-10.793
0.88 ,21,-140.000,-10.859
0.88 ,22,-138.000,-11.051
0.88 ,23,-136.000,-11.383
0.88 ,24,-134.000,-11.869
0.88 ,25,-132.000,-12.517
0.88 ,26,-130.000,-13.332
0.88 ,27,-128.000,-14.305
0.88 ,28,-126.000,-15.400
0.88 ,29,-124.000,-16.515
0.88 ,30,-122.000,-17.458
0.88 ,31,-120.000,-17.969
0.88 ,32,-118.000,-17.904
0.88 ,33,-116.000,-17.382
0.88 ,34,-114.000,-16.671
0.88 ,35,-112.000,-15.992
0.88 ,36,-110.000,-15.471
0.88 ,37,-108.000,-15.172
0.88 ,38,-106.000,-15.127
0.88 ,39,-104.000,-15.365
0.88 ,40,-102.000,-15.919
0.88 ,41,-100.000,-16.844
0.88 ,42,-98.000,-18.231
0.88 ,43,-96.000,-20.250
0.88 ,44,-94.000,-23.247
0.88 ,45,-92.000,-27.966
0.88 ,46,-90.000,-33.092
0.88 ,47,-88.000,-27.946
0.88 ,48,-86.000,-23.133
0.88 ,49,-84.000,-20.017
0.88 ,50,-82.000,-17.834
0.88 ,51,-80.000,-16.219
0.88 ,52,-78.000,-14.986
0.88 ,53,-76.000,-14.025
0.88 ,54,-74.000,-13.263
0.88 ,55,-72.000,-12.650
0.88 ,56,-70.000,-12.146
0.88 ,57,-68.000,-11.717
0.88 ,58,-66.000,-11.333
0.88 ,59,-64.000,-10.967
0.88 ,60,-62.000,-10.597
0.88 ,61,-60.000,-10.204
0.88 ,62,-58.000,-9.780
0.88 ,63,-56.000,-9.322
0.88 ,64,-54.000,-8.837
0.88 ,65,-52.000,-8.335
0.88 ,66,-50.000,-7.830
0.88 ,67,-48.000,-7.333
0.88 ,68,-46.000,-6.854
0.88 ,69,-44.000,-6.401
0.88 ,70,-42.000,-5.975
0.88 ,71,-40.000,-5.579
0.88 ,72,-38.000,-5.210
0.88 ,73,-36.000,-4.867
0.88 ,74,-34.000,-4.547
0.88 ,75,-32.000,-4.246
0.88 ,76,-30.000,-3.963
0.88 ,77,-28.000,-3.695
0.88 ,78,-26.000,-3.441
0.88 ,79,-24.000,-3.202
0.88 ,80,-22.000,-2.977
0.88 ,81,-20.000,-2.767
0.88 ,82,-18.000,-2.573
0.88 ,83,-16.000,-2.398
0.88 ,84,-14.000,-2.241
0.88 ,85,-12.000,-2.103
0.88 ,86,-10.000,-1.986
0.88 ,87,-8.000,-1.889
0.88 ,88,-6.000,-1.813
0.88 ,89,-4.000,-1.756
0.88 ,90,-2.000,-1.720
0.88 ,91,0.000,-1.702
0.88 ,92,2.000,-1.701
0.88 ,93,4.000,-1.718
0.88 ,94,6.000,-1.750
0.88 ,95,8.000,-1.796
0.88 ,96,10.000,-1.857
0.88 ,97,12.000,-1.931
0.88 ,98,14.000,-2.017
0.88 ,99,16.000,-2.115
0.88 ,100,18.000,-2.224
0.88 ,101,20.000,-2.345
0.88 ,102,22.000,-2.477
0.88 ,103,24.000,-2.622
0.88 ,104,26.000,-2.782
0.88 ,105,28.000,-2.958
0.88 ,106,30.000,-3.155
0.88 ,107,32.000,-3.377
0.88 ,108,34.000,-3.627
0.88 ,109,36.000,-3.913
0.88 ,110,38.000,-4.239
0.88 ,111,40.000,-4.609
0.88 ,112,42.000,-5.029
0.88 ,113,44.000,-5.500
0.88 ,114,46.000,-6.020
0.88 ,115,48.000,-6.585
0.88 ,116,50.000,-7.183
0.88 ,117,52.000,-7.799
0.88 ,118,54.000,-8.412
0.88 ,119,56.000,-8.997
0.88 ,120,58.000,-9.532
0.88 ,121,60.000,-10.005
0.88 ,122,62.000,-10.419
0.88 ,123,64.000,-10.793
0.88 ,124,66.000,-11.162
0.88 ,125,68.000,-11.568
0.88 ,126,70.000,-12.056
0.88 ,127,72.000,-12.674
0.88 ,128,74.000,-13.471
0.88 ,129,76.000,-14.500
0.88 ,130,78.000,-15.826
0.88 ,131,80.000,-17.530
0.88 ,132,82.000,-19.701
0.88 ,133,84.000,-22.330
0.88 ,134,86.000,-24.726
0.88 ,135,88.000,-24.853
0.88 ,136,90.000,-22.801
0.88 ,137,92.000,-20.588
0.88 ,138,94.000,-18.859
0.88 ,139,96.000,-17.622
0.88 ,140,98.000,-16.799
0.88 ,141,100.000,-16.325
0.88 ,142,102.000,-16.156
0.88 ,143,104.000,-16.265
0.88 ,144,106.000,-16.634
0.88 ,145,108.000,-17.246
0.88 ,146,110.000,-18.067
0.88 ,147,112.000,-19.010
0.88 ,148,114.000,-19.865
0.88 ,149,116.000,-20.268
0.88 ,150,118.000,-19.908
0.88 ,151,120.000,-18.870
0.88 ,152,122.000,-17.528
0.88 ,153,124.000,-16.187
0.88 ,154,126.000,-14.991
0.88 ,155,128.000,-13.988
0.88 ,156,130.000,-13.186
0.88 ,157,132.000,-12.578
0.88 ,158,134.000,-12.155
0.88 ,159,136.000,-11.907
0.88 ,160,138.000,-11.827
0.88 ,161,140.000,-11.910
0.88 ,162,142.000,-12.152
0.88 ,163,144.000,-12.550
0.88 ,164,146.000,-13.102
0.88 ,165,148.000,-13.796
0.88 ,166,150.000,-14.604
0.88 ,167,152.000,-15.458
0.88 ,168,154.000,-16.230
0.88 ,169,156.000,-16.721
0.88 ,170,158.000,-16.749
0.88 ,171,160.000,-16.289
0.88 ,172,162.000,-15.495
0.88 ,173,164.000,-14.573
0.88 ,174,166.000,-13.670
0.88 ,175,168.000,-12.863
0.88 ,176,170.000,-12.181
0.88 ,177,172.000,-11.631
0.88 ,178,174.000,-11.207
0.88 ,179,176.000,-10.901
0.88 ,180,178.000,-10.699
0.88 ,181,180.000,-10.589
0.90 ,1,-180.000,-10.767
0.90 ,2,-178.000,-10.769
0.90 ,3,-176.000,-10.858
0.90 ,4,-174.000,-11.029
0.90 ,5,-172.000,-11.279
0.90 ,6,-170.000,-11.600
0.90 ,7,-168.000,-11.982
0.90 ,8,-166.000,-12.407
