!CSV A.01.01
!Agilent Technologies,N5242A,MY53222371,A.10.20.02
!Agilent N5242A: A.10.20.02
!Date: Monday, August 24, 2020 22:30:07
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG)
1706400000,-18.026209,-134.72968
1713200000,-18.425009,-164.16049
1720000000,-18.189419,168.63724
1726800000,-17.941612,144.00769
1733600000,-17.799604,122.63081
1740400000,-18.157516,101.82894
1747200000,-19.361422,83.564751
1754000000,-21.177244,68.201973
1760800000,-23.958494,54.25629
1767600000,-28.651299,42.848961
1774400000,-38.725159,46.105778
1781200000,-36.626579,-171.55214
1788000000,-26.775646,-174.84052
1794800000,-22.382624,172.56314
1801600000,-19.658649,159.7439
1808400000,-17.837229,147.73932
1815200000,-16.347301,135.17345
1822000000,-15.387443,120.79018
1828800000,-15.019958,105.06137
1835600000,-15.365113,89.231651
1842400000,-16.249332,76.033249
1849200000,-17.203505,64.070984
1856000000,-18.374571,51.286583
1862800000,-19.705118,37.196785
1869600000,-21.104546,20.615175
1876400000,-22.614382,1.0475464
1883200000,-23.014793,-27.479921
1890000000,-22.480576,-59.531712
1896800000,-21.155056,-87.901741
1903600000,-19.55942,-108.46764
1910400000,-17.717012,-123.27146
1917200000,-15.965701,-136.85289
1924000000,-14.608543,-148.90909
1930800000,-13.49379,-159.2657
1937600000,-12.550558,-168.15533
1944400000,-11.753602,-176.18806
1951200000,-11.035742,176.42047
1958000000,-10.436365,169.22955
1964800000,-9.9534988,162.79018
1971600000,-9.4807816,156.69238
1978400000,-9.084981,150.70227
1985200000,-8.7874203,144.86061
1992000000,-8.5449867,139.69843
1998800000,-8.2795534,134.97639
2005600000,-8.0200853,130.19096
2012400000,-7.7718744,125.41325
2019200000,-7.540731,120.55808
2026000000,-7.3540273,115.6305
2032800000,-7.1836534,110.6241
2039600000,-7.1045909,105.67736
2046400000,-7.0471411,101.12228
2053200000,-7.0118742,96.457703
2060000000,-6.9920311,92.238068
2066800000,-6.9497666,87.854607
2073600000,-6.9282041,83.355255
2080400000,-6.9345188,79.005737
2087200000,-6.9490762,74.401039
2094000000,-6.9622803,69.782013
2100800000,-6.9980369,64.751816
2107600000,-7.0625896,59.488976
2114400000,-7.1920366,54.014576
2121200000,-7.3632593,48.328106
2128000000,-7.6116905,42.653671
2134800000,-7.8971877,36.722046
2141600000,-8.2552891,30.740793
2148400000,-8.6370354,24.598089
2155200000,-9.0977945,17.914608
2162000000,-9.6494713,11.179532
2168800000,-10.277209,4.0222015
2175600000,-10.972516,-3.9328671
2182400000,-11.760373,-12.387404
2189200000,-12.591031,-22.249115
2196000000,-13.544242,-34.525249
2202800000,-14.669273,-49.611771
2209600000,-15.878664,-68.700089
2216400000,-16.96369,-92.781113
2223200000,-17.455555,-121.18741
2230000000,-17.127159,-150.81595
2236800000,-16.173811,-177.04762
2243600000,-15.002234,161.04128
2250400000,-13.997213,141.80588
2257200000,-13.376389,125.07735
2264000000,-13.246377,111.05711
2270800000,-13.327406,100.61486
2277600000,-13.449447,92.101784
2284400000,-13.673143,85.138321
2291200000,-13.877876,79.37838
2298000000,-14.064384,73.980522
2304800000,-14.300648,68.508598
2311600000,-14.611496,62.18541
2318400000,-15.270787,55.710274
2325200000,-16.22543,50.229404
2332000000,-17.47934,45.521152
2338800000,-19.213026,41.854164
2345600000,-21.503771,42.729244
2352400000,-24.155336,51.565765
2359200000,-26.234337,74.298813
2366000000,-25.393063,101.32205
2372800000,-22.551828,115.40243
2379600000,-20.138273,118.16711
2386400000,-18.28849,116.84593
2393200000,-16.868448,113.00436
2400000000,-15.897497,108.86592
2406800000,-15.116414,104.25583
2413600000,-14.459575,99.241211
2420400000,-14.028025,93.649567
2427200000,-13.766921,87.975975
2434000000,-13.729247,81.938576
2440800000,-13.915709,75.957153
2447600000,-14.360217,70.533394
2454400000,-15.055499,65.480881
2461200000,-16.006058,62.157932
2468000000,-17.114285,60.203979
2474800000,-18.577879,60.508121
2481600000,-20.071804,64.595901
2488400000,-21.587204,73.552795
2495200000,-22.213707,88.976974
2502000000,-21.640493,103.89594
2508800000,-20.320435,114.20304
2515600000,-18.764601,120.46687
2522400000,-17.299107,123.48122
2529200000,-15.916896,123.45862
2536000000,-14.821386,122.3422
2542800000,-13.830956,120.84274
2549600000,-12.985067,118.68243
2556400000,-12.210214,116.25861
2563200000,-11.537491,113.49206
2570000000,-10.947633,110.52776
2576800000,-10.410072,107.55122
2583600000,-9.9352808,104.40917
2590400000,-9.5190439,101.05796
2597200000,-9.1445217,97.611153
2604000000,-8.8773861,94.161469
2610800000,-8.6543589,90.965477
2617600000,-8.4380636,88.073898
2624400000,-8.2377892,85.368858
2631200000,-7.9860339,82.584274
2638000000,-7.7572975,79.594635
2644800000,-7.5501361,76.513474
2651600000,-7.3562236,73.391228
2658400000,-7.1669564,70.026115
2665200000,-7.0153151,66.398796
2672000000,-6.9179735,62.793022
2678800000,-6.8410015,59.029305
2685600000,-6.8022575,55.192169
2692400000,-6.8096514,51.29538
2699200000,-6.8305812,47.363197
2706000000,-6.9026594,43.264851
2712800000,-7.035769,39.073059
2719600000,-7.2137952,34.953255
2726400000,-7.4243131,30.694283
2733200000,-7.6714721,26.419975
2740000000,-7.9874649,21.988302
2746800000,-8.3706064,17.598696
2753600000,-8.8173962,13.082309
2760400000,-9.3716125,8.4979858
2767200000,-10.030324,3.8794544
2774000000,-10.801258,-0.65565997
2780800000,-11.728711,-5.3423924
2787600000,-12.864443,-10.106043
2794400000,-14.232954,-14.803138
2801200000,-16.004503,-19.712719
2808000000,-18.369574,-24.021841
2814800000,-21.614414,-27.085819
2821600000,-27.151325,-29.782667
2828400000,-42.63435,29.129208
2835200000,-28.171375,119.80552
2842000000,-21.976183,119.02491
2848800000,-18.55574,115.08291
2855600000,-16.216738,110.33942
2862400000,-14.454385,105.65712
2869200000,-13.038772,101.03413
2876000000,-11.842493,95.926895
2882800000,-10.931403,90.817146
2889600000,-10.175425,85.893547
2896400000,-9.564888,81.017372
2903200000,-9.0506582,76.360771
2910000000,-8.6534386,71.670158
2916800000,-8.3382912,67.243378
2923600000,-8.0711594,62.946724
2930400000,-7.8977156,58.54253
2937200000,-7.8026595,54.344894
2944000000,-7.7489443,50.074509
2950800000,-7.7694116,46.095081
2957600000,-7.8784862,42.019108
2964400000,-8.0631695,38.598392
2971200000,-8.2654572,35.349407
2978000000,-8.5498762,32.339283
2984800000,-8.9003525,29.838802
2991600000,-9.3140135,27.97374
2998400000,-9.7192602,27.359295
3005200000,-10.036519,27.510496
3012000000,-10.255587,28.11488
3018800000,-10.371922,28.923721
3025600000,-10.365621,29.805344
3032400000,-10.246225,30.159103
3039200000,-10.12029,30.006227
3046000000,-9.9604902,29.625984
3052800000,-9.7462654,28.608572
3059600000,-9.5597801,26.878328
3066400000,-9.4306459,24.856567
3073200000,-9.3542805,22.473042
3080000000,-9.2851582,20.012224
3086800000,-9.268362,17.061462
3093600000,-9.3113194,13.841537
3100400000,-9.4671535,10.403102
3107200000,-9.7113314,7.1363344
